Sum of Females  Life Expectancy,Sum of Life Expectancy  (both sexes),Sum of Males  Life Expectancy,cluster
57.19,55.24,53.36,0
54.94,54.64,54.33,0
60.75,57.74,54.76,0
60.44,57.8,55.03,0
59.56,57.67,55.51,0
61.55,58.97,56.49,0
63.43,61.29,59.11,0
62.15,60.68,59.25,0
62.42,60.96,59.52,0
62.09,60.9,59.66,0
64.23,62.07,59.96,0
64.31,62.11,60.17,0
63.7,61.96,60.23,0
66.74,63.8,60.49,0
62.41,61.43,60.49,0
65.31,63.06,60.49,0
63.63,62.32,61.02,0
67.11,64.26,61.32,0
66.12,63.83,61.64,0
65.88,63.82,61.75,0
66.23,63.97,61.78,0
66.55,64.25,61.82,0
68.49,65.12,61.9,0
65.6,63.84,62.12,0
65.89,63.91,62.22,0
67.34,64.81,62.28,0
63.15,62.93,62.7,0
69.79,66.31,62.78,0
68.16,65.7,63.31,0
71.48,67.52,63.45,0
69.83,66.52,63.45,0
68.74,66.2,63.73,0
69.21,66.26,63.84,0
70.38,67.1,63.99,0
68.87,66.53,64.1,0
70.77,67.56,64.27,0
67.72,66.0,64.33,0
67.75,66.06,64.35,0
71.02,67.6,64.36,0
70.0,67.21,64.4,0
68.32,66.6,64.69,0
67.81,66.29,64.7,0
69.2,67.02,65.02,0
74.25,69.21,65.22,0
70.32,67.8,65.46,0
69.54,67.46,65.47,0
71.37,68.49,65.49,0
70.14,68.02,65.71,0
71.24,68.51,66.06,0
71.32,68.74,66.27,0
69.67,67.9,66.27,0
73.91,69.91,66.41,0
74.09,70.32,66.62,0
70.73,68.71,66.7,0
75.67,71.33,66.7,0
70.94,68.89,66.76,0
71.85,69.29,66.78,0
72.96,69.95,66.99,0
73.01,70.2,67.0,0
71.01,68.92,67.01,0
71.53,69.23,67.02,0
71.55,69.44,67.37,0
79.19,73.34,67.48,0
76.66,71.99,67.49,0
76.49,72.3,67.76,0
73.36,70.82,68.15,0
75.4,71.82,68.31,0
74.48,71.38,68.78,0
76.66,72.67,68.89,0
74.15,71.61,69.08,0
72.14,70.64,69.09,0
73.43,71.29,69.16,0
72.18,70.69,69.36,0
76.45,72.85,69.45,0
76.54,73.07,69.5,0
75.55,72.53,69.56,0
74.11,71.65,69.59,0
72.68,71.12,69.63,0
74.01,71.81,69.65,0
74.14,71.93,69.68,0
79.22,74.62,69.74,0
79.23,74.66,69.75,0
79.39,74.69,69.79,0
73.77,71.58,69.87,0
73.82,71.83,69.96,0
79.38,74.74,70.05,0
76.66,72.99,70.08,0
74.92,72.56,70.21,0
78.52,74.53,70.27,0
75.04,72.75,70.44,0
75.67,73.04,70.49,0
74.18,72.42,70.5,0
76.83,73.62,70.51,0
76.98,73.76,70.6,0
77.11,73.87,70.66,0
73.86,72.24,70.73,0
81.48,75.7,70.73,0
77.09,73.98,71.01,0
78.33,74.71,71.06,0
76.66,73.74,71.08,0
80.8,76.17,71.42,0
75.88,73.74,71.55,0
75.27,73.26,71.57,0
79.6,75.85,71.58,0
77.29,74.58,71.71,0
80.6,76.33,71.75,0
78.34,75.1,72.11,0
79.36,75.8,72.33,0
80.98,76.56,72.34,0
78.0,75.26,72.44,0
77.58,75.1,72.46,0
78.5,75.37,72.52,0
79.68,76.09,72.56,0
80.96,76.99,72.66,0
79.15,76.02,72.95,0
79.37,76.22,73.05,0
76.67,74.93,73.3,0
77.78,75.49,73.35,0
77.73,75.5,73.49,0
81.59,77.42,73.66,0
80.18,76.94,73.68,0
78.76,76.33,73.75,0
78.92,76.5,73.85,0
80.33,77.18,73.89,0
80.45,77.25,73.92,0
79.33,76.71,74.13,0
78.51,76.24,74.27,0
80.15,77.18,74.33,0
82.04,78.29,74.38,0
79.52,76.82,74.45,0
80.75,77.67,74.45,0
80.34,77.42,74.62,0
81.07,78.04,74.65,0
80.45,77.77,74.74,0
80.31,77.58,74.88,0
80.02,77.54,74.98,0
77.91,76.48,75.1,0
82.49,78.81,75.1,0
83.17,79.31,75.12,0
80.61,77.91,75.16,0
81.71,78.49,75.21,0
80.97,78.02,75.25,0
79.71,77.54,75.26,0
81.82,78.75,75.6,0
80.3,77.94,75.63,0
80.68,78.26,75.86,0
79.86,77.95,75.88,0
80.34,77.98,75.89,0
79.81,77.85,76.0,0
81.41,78.92,76.46,0
82.71,79.78,76.88,0
81.98,79.46,77.05,0
82.75,79.97,77.18,0
81.33,78.98,77.33,0
83.75,80.75,77.86,0
81.59,79.78,77.92,0
85.38,81.9,78.28,0
85.65,82.24,78.35,0
83.58,81.0,78.37,0
82.05,80.25,78.72,0
84.47,81.78,79.11,0
83.88,81.54,79.21,0
84.79,82.08,79.38,0
83.23,81.36,79.45,0
82.0,80.6,79.45,0
85.73,82.74,79.45,0
84.46,82.03,79.5,0
83.33,81.45,79.54,0
85.25,82.55,79.68,0
84.45,82.12,79.75,0
83.8,81.82,79.84,0
83.0,81.29,79.95,0
84.45,82.27,80.06,0
83.98,82.09,80.21,0
84.91,82.72,80.53,0
84.61,82.58,80.58,0
86.2,83.46,80.59,0
83.89,82.25,80.6,0
84.71,82.73,80.67,0
86.45,83.67,80.67,0
83.85,82.3,80.72,0
83.94,82.36,80.75,0
82.13,81.42,80.86,0
85.35,83.23,81.05,0
86.44,83.8,81.1,0
87.28,84.43,81.32,0
86.36,83.86,81.38,0
85.39,83.47,81.48,0
84.47,83.01,81.63,0
85.22,83.42,81.65,0
85.87,83.87,81.75,0
83.48,82.52,81.78,0
87.88,84.85,81.83,0
86.62,84.19,81.9,0
84.97,83.46,81.94,0
85.95,84.09,82.17,0
84.32,83.07,82.17,0
85.85,84.07,82.28,0
88.26,85.63,82.97,0
149.22,143.28,137.64,-1
